no,name,location,weather,value,time,north_months,south_months,north_month_label,south_month_label
43,Ladybug,On flowers,,200,8 a.m. - 5 p.m.,"March, April, May, June, October","September, October, November, December, April","March-June, October","September-December, April"
42,Man-faced Stink Bug,On flowers,,1000,7 p.m. - 8 a.m.,"March, April, May, June, July, August, September, October, November","September, October, November, December, January, February, March, April, May",March-November,September-May
41,Stinkbug,On flowers,,120,All day,"March, April, May, June, July, August, September, October, November","September, October, November, December, January, February, March, April, May",March-November,September-May
40,Giant Water Bug,Ponds and rivers,,2000,7 p.m. - 8 a.m.,"April, May, June, July, August, September","October, November, December, January, February, March",April-September,October-March
39,Diving Beetle,Ponds and rivers,,800,8 a.m. - 7 p.m.,"May, June, July, August, September","November, December, January, February, March",May-September,November-March
38,Pondskater,Ponds,,130,8 a.m. - 7 p.m.,"May, June, July, August, September","November, December, January, February, March",May-September,November-March
37,Mole Cricket,Underground,,500,All day,"November, December, January, February, March, April, May","May, June, July, August, September, October, November",November-May,May-November
36,Firefly,Flying,,300,7 p.m. - 4 a.m.,June,December,June,December
35,Damselfly,Flying,,500,All day,"November, December, January, February","May, June, July, August",November-February,May-August
34,Banded Dragonfly,Flying,,4500,8 a.m. - 5 p.m.,"May, June, July, August, September, October","November, December, January, February, March, April",May-October,November-April
33,Darner Dragonfly,Flying,,230,8 a.m. - 5 p.m.,"April, May, June, July, August, September, October","October, November, December, January, February, March, April",April-October,October-April
32,Red Dragonfly,Flying,,180,8 a.m. - 7 p.m.,"September, October","March, April",September-October,March-April
31,Cicada Shell,Trees,,10,All day,"July, August","January, February",July-August,January-February
30,Evening Cicada,Trees,,660,"4 a.m. - 8 a.m., 4 p.m. - 7 p.m.","July, August","January, February",July-August,January-February
29,Walker Cicada,Trees,,400,8 a.m. - 5 p.m.,"August, September","February, March",August-September,February-March
28,Giant Cicada,Trees,,600,8 a.m. - 5 p.m.,"July, August","January, February",July-August,January-February
27,Robust Cicada,Trees,,300,8 a.m. - 5 p.m.,"July, August","January, February",July-August,January-February
26,Brown Cicada,Trees,,250,8 a.m. - 5 p.m.,"July, August","January, February",July-August,January-February
25,Wasp,Trees (shake),,2500,All day,All,All,All,All
24,Honeybee,Flying,,200,8 a.m. - 5 p.m.,"March, April, May, June, July","March, April, May, June, July",March-July,March-July
23,Orchid Mantis,Flowers (white),,2400,8 a.m. - 5 p.m.,"March, April, May, June, July, August, September, October, November","September, October, November, December, January, February, March, April, May",March-November,September-May
22,Mantis,Flowers,,430,8 a.m. - 5 p.m.,"March, April, May, June, July, August, September, October, November","September, October, November, December, January, February, March, April, May",March-November,September-May
21,Bell Cricket,Ground,,430,5 p.m. - 8 a.m.,"September, October","March, April",September-October,March-April
20,Cricket,Ground,,130,5 p.m. - 8 a.m.,"September, October, November","March, April, May",September-November,March-May
19,Grasshopper,Ground,,160,8 a.m. - 5 p.m.,"July, August, September","January, February, March",July-September,January-March
18,Rice Grasshopper,Ground,,160,8 a.m. - 7 p.m.,"August, September, October, November","February, March, April, May",August-November,February-May
17,Migratory Locust,Ground,,600,8 a.m. - 7 p.m.,"August, September, October, November","February, March, April, May",August-November,February-May
16,Long Locust,Ground,,200,8 a.m. - 7 p.m.,"April, May, June, July, August, September, October, November","November, December, January, February, March, April, May",April-November,November-May
15,Madagascan Sunset Moth,Flying,,2500,8 a.m. - 4 p.m.,"April, May, June, July, August, September","October, November, December, January, February, March",April-September,October-March
14,Atlas Moth,Trees,,3000,7 p.m. - 4 a.m.,"April, May, June, July, August, September","October, November, December, January, February, March",April-September,October-March
13,Moth,Flying (near light),,130,7 p.m. - 4 a.m.,All,All,All,All
12,Queen Alexandra's Birdwing,Flying,,4000,8 a.m. - 4 p.m.,"May, June, July, August, September","November, December, January, February, March",May-September,November-March
11,Rajah Brooke's Birdwing,Flying (near purple flowers),,2500,8 a.m. - 5 p.m.,"April, May, June, July, August, September, December, January, February","November, December, January, February, March, June, July, August","April-September, December-February","November-March, June-August"
10,Agrias Butterfly,Flying,,3000,8 a.m. - 5 p.m.,"April, May, June, July, August, September","November, December, January, February, March",April-September,November-March
9,Emperor Butterfly,Flying,,4000,5 p.m. - 8 a.m.,"June, July, August, September, December, January, February, March","November, December, January, February, March, June, July, August, September","June-September, December-March","December-March, June-September"
8,Monach Butterfly,Flying,,140,4 a.m. - 5 p.m.,"September, October, November","March, April, May",September-November,March-May
7,Great Purple Emperor,Flying,,3000,4 a.m. - 7 p.m.,"May, June, July, August","November, December, January, February",May-August,November-February
6,Paper Kite Butterfly,Flying,,1000,8 a.m. - 7 p.m.,All,All,All,All
5,Common Bluebottle,Flying,,300,4 a.m. - 7 p.m.,"April, May, June, July, August","October, November, December, January, February",April-August,October-February
4,Peacock Butterfly,Flying (hybrid flowers),,2500,4 a.m. - 7 p.m.,"March, April, May, June","September, October, November, December",March-June,September-December
3,Tiger Butterfly,Flying,,240,4 a.m. - 7 p.m.,"March, April, May, June, September","September, October, November, December, January, February, March",March-September,September-March
2,Yellow Butterfly,Flying,,160,4 a.m. - 7 p.m.,"March, April, May, June, September, October","March, April, September, October, November, December","March-June, September-October","March-April, September-December"
1,Common Butterfly,Flying,,160,4 a.m. - 7 p.m.,"September, October, November, December, January, February, March, April, May, June","March, April, May, June, July, August, September, October, November, December",September-June,March-December
